date,pre,hum,tem,occ
2019-01-10 11:24:00,95357.56,59.89,26.78,M
2019-01-10 11:24:10,95354.16,60.92,26.9,M
2019-01-10 11:25:00,95359.94,61.18,26.94,M
2019-01-10 11:25:10,95356.12,61.45,27.0,M
2019-01-10 11:25:20,95357.78,63.31,27.09,M
2019-01-10 11:25:30,95359.2,62.5,27.14,M
2019-01-10 11:25:40,95355.11,62.65,27.2,M
2019-01-10 11:25:50,95352.52,63.66,27.27,M
2019-01-10 11:26:00,95350.44,64.44,27.34,M
2019-01-10 11:26:10,95351.04,64.04,27.41,M
2019-01-10 11:26:20,95349.22,62.83,27.46,M
2019-01-10 11:26:30,95361.56,61.96,27.51,M
2019-01-10 11:26:40,95365.03,60.96,27.54,M
2019-01-10 11:26:50,95364.17,60.26,27.58,M
2019-01-10 11:27:00,95364.17,59.95,27.62,M
2019-01-10 11:27:10,95362.62,59.91,27.65,M
2019-01-10 11:27:20,95365.98,59.71,27.67,M
2019-01-10 11:27:30,95363.52,59.7,27.7,M
2019-01-10 11:27:40,95360.3,59.59,27.73,M
2019-01-10 11:27:50,95363.09,59.51,27.76,M
2019-01-10 11:28:00,95360.22,59.47,27.79,M
2019-01-10 11:28:10,95360.1,59.33,27.83,M
2019-01-10 11:28:20,95359.5,58.91,27.84,M
2019-01-10 11:28:30,95359.05,58.74,27.87,M
2019-01-10 11:28:40,95359.13,58.73,27.89,M
2019-01-10 11:28:50,95363.39,58.6,27.91,M
2019-01-10 11:29:00,95359.17,58.47,27.93,M
2019-01-10 11:29:10,95358.69,58.39,27.96,M
2019-01-10 11:29:20,95357.47,58.23,27.97,M
2019-01-10 11:29:30,95354.5,58.26,28.0,M
2019-01-10 11:29:40,95358.27,57.97,28.02,M
2019-01-10 11:29:50,95358.77,58.03,28.02,M
2019-01-10 11:30:00,95357.92,58.09,28.06,M
2019-01-10 11:30:10,95355.87,57.86,28.07,M
2019-01-10 11:30:20,95357.71,57.72,28.06,M
2019-01-10 11:30:30,95357.48,57.73,28.06,M
2019-01-10 11:30:40,95359.17,57.73,28.08,M
2019-01-10 11:30:50,95358.11,57.77,28.11,M
2019-01-10 11:31:00,95359.27,57.67,28.13,M
2019-01-10 11:31:10,95357.42,57.47,28.14,M
2019-01-10 11:31:20,95356.63,57.36,28.16,M
2019-01-10 11:31:30,95359.66,57.37,28.18,M
2019-01-10 11:31:40,95358.48,57.42,28.2,M
2019-01-10 11:31:50,95360.78,57.26,28.22,M
2019-01-10 11:32:00,95358.27,57.48,28.22,M
2019-01-10 11:32:10,95357.78,57.65,28.25,M
2019-01-10 11:32:20,95357.76,57.54,28.26,M
2019-01-10 11:32:30,95360.52,57.41,28.29,M
2019-01-10 11:32:40,95360.79,57.83,28.32,M
2019-01-10 11:32:50,95359.06,57.35,28.33,M
2019-01-10 11:33:00,95360.95,57.17,28.32,M
2019-01-10 11:33:10,95361.51,56.92,28.31,M
2019-01-10 11:33:20,95360.81,56.77,28.31,M
2019-01-10 11:33:30,95363.27,56.76,28.3,M
2019-01-10 11:33:40,95360.52,56.73,28.29,M
2019-01-10 11:33:50,95362.7,56.7,28.3,M
2019-01-10 11:34:00,95361.29,56.66,28.31,M
2019-01-10 11:34:10,95360.25,56.62,28.35,M
2019-01-10 11:34:20,95362.55,56.58,28.36,M
2019-01-10 11:34:30,95364.09,56.59,28.37,M
2019-01-10 11:34:40,95364.73,56.56,28.4,M
2019-01-10 11:34:50,95366.3,56.55,28.41,M
2019-01-10 11:35:00,95364.38,56.5,28.43,M
2019-01-10 11:35:10,95363.09,56.54,28.43,M
2019-01-10 11:35:20,95364.5,56.46,28.44,M
2019-01-10 11:35:30,95364.05,56.47,28.44,M
2019-01-10 11:35:40,95365.5,56.39,28.43,M
2019-01-10 11:35:50,95364.22,56.48,28.44,M
2019-01-10 11:36:00,95366.02,56.62,28.44,M
2019-01-10 11:36:10,95366.06,56.56,28.44,M
2019-01-10 11:36:20,95363.54,56.45,28.43,M
2019-01-10 11:36:30,95364.73,56.48,28.45,M
2019-01-10 11:36:40,95366.3,56.39,28.46,M
2019-01-10 11:36:50,95366.76,56.3,28.47,M
2019-01-10 11:37:00,95365.78,56.16,28.48,M
2019-01-10 11:37:10,95363.09,56.21,28.48,M
2019-01-10 11:37:20,95365.91,56.21,28.5,M
2019-01-10 11:37:30,95364.52,56.19,28.51,M
2019-01-10 11:37:40,95365.28,55.81,28.49,M
2019-01-10 11:37:50,95365.44,55.94,28.48,M
2019-01-10 11:38:00,95365.95,55.75,28.45,M
2019-01-10 11:38:10,95367.42,55.83,28.46,M
2019-01-10 11:38:20,95364.94,55.89,28.49,M
2019-01-10 11:38:30,95365.51,55.95,28.49,M
2019-01-10 11:38:40,95365.22,56.11,28.48,M
2019-01-10 11:38:50,95366.23,56.23,28.49,M
2019-01-10 11:39:00,95368.09,56.3,28.51,M
2019-01-10 11:39:10,95366.03,56.25,28.52,M
2019-01-10 11:39:20,95364.41,56.19,28.52,M
2019-01-10 11:39:30,95364.5,56.01,28.53,M
2019-01-10 11:39:40,95365.23,55.99,28.55,M
2019-01-10 11:39:50,95363.05,55.88,28.54,M
2019-01-10 11:40:00,95366.19,56.0,28.55,M
2019-01-10 11:40:10,95364.91,56.09,28.58,M
2019-01-10 11:40:20,95365.42,56.05,28.58,M
2019-01-10 11:40:30,95366.52,56.04,28.54,M
2019-01-10 11:40:40,95367.35,56.27,28.54,M
2019-01-10 11:40:50,95364.51,56.25,28.56,M
2019-01-10 11:41:00,95362.39,56.1,28.58,M
2019-01-10 11:41:10,95362.45,56.25,28.59,M
2019-01-10 11:41:20,95362.78,56.16,28.59,M
2019-01-10 11:41:30,95362.59,56.1,28.59,M
2019-01-10 11:41:40,95360.32,56.0,28.59,M
2019-01-10 11:41:50,95361.83,56.0,28.59,M
2019-01-10 11:42:00,95361.42,55.92,28.61,M
2019-01-10 11:42:10,95360.07,55.78,28.59,M
2019-01-10 11:42:20,95361.48,55.88,28.56,M
2019-01-10 11:42:30,95359.7,55.91,28.58,M
2019-01-10 11:42:40,95359.15,55.92,28.59,M
2019-01-10 11:42:50,95360.14,56.02,28.61,M
2019-01-10 11:43:00,95360.48,55.99,28.63,M
2019-01-10 11:43:10,95358.64,55.91,28.63,M
2019-01-10 11:43:20,95358.55,55.85,28.65,M
2019-01-10 11:43:30,95356.79,56.09,28.63,M
2019-01-10 11:43:40,95359.52,55.94,28.61,M
2019-01-10 11:43:50,95356.22,56.08,28.61,M
2019-01-10 11:44:00,95358.23,56.06,28.61,M
2019-01-10 11:44:10,95359.18,56.0,28.61,M
2019-01-10 11:44:20,95357.83,56.21,28.59,M
2019-09-18 19:04:00,95006.28,58.69,27.17,M
2019-09-18 19:04:10,95006.4,58.43,27.18,M
2019-09-18 19:04:20,95005.84,59.82,27.06,M
2019-09-18 19:04:30,95009.35,60.66,27.11,M
2019-09-18 19:04:40,95007.39,59.45,27.09,M
2019-09-18 19:04:50,95004.27,59.48,27.05,M
2019-09-18 19:05:00,95007.0,59.27,27.05,M
2019-09-18 19:05:10,95003.25,59.69,26.99,M
2019-09-18 19:05:20,95006.94,60.34,27.04,M
2019-09-18 19:05:30,95002.63,58.95,27.03,M
2019-09-18 19:05:40,95004.92,58.87,27.03,M
2019-09-18 19:05:50,95002.09,58.82,27.05,M
2019-09-18 19:06:00,95002.7,59.17,27.03,M
2019-09-18 19:06:10,95004.7,58.57,27.03,M
2019-09-18 19:06:20,95006.66,57.98,26.98,M
2019-09-18 19:06:30,95005.94,58.11,26.94,M
2019-09-18 19:06:40,95004.32,58.25,26.95,M
2019-09-18 19:06:50,95007.67,58.06,26.94,M
2019-09-18 19:07:00,95006.38,57.94,26.93,M
2019-09-18 19:07:10,95006.05,58.16,26.94,M
2019-09-18 19:07:20,95007.33,58.19,26.94,M
2019-09-18 19:07:30,95006.5,58.38,26.96,M
2019-09-18 19:07:40,95011.86,58.38,26.95,M
2019-09-18 19:07:50,95007.78,58.31,26.95,M
2019-09-18 19:08:00,95006.38,58.23,26.93,M
2019-09-18 19:08:10,95005.53,58.29,26.92,M
2019-09-18 19:08:20,95006.55,58.47,26.9,M
2019-09-18 19:08:30,95007.66,58.21,26.89,M
2019-09-18 19:08:40,95008.45,57.97,26.82,M
2019-09-18 19:08:50,95004.03,58.24,26.81,M
2019-09-18 19:09:00,95005.82,58.45,26.76,M
2019-09-18 19:09:10,95006.55,58.45,26.76,M
2019-09-18 19:09:20,94995.88,58.83,26.76,M
2019-09-18 19:09:30,94993.53,58.75,26.66,M
2019-09-18 19:09:40,94995.61,59.2,26.68,M
2019-09-18 19:09:50,94993.67,61.47,26.84,M
2019-09-18 19:10:00,95002.49,61.06,26.79,M
2019-09-18 19:10:10,95005.61,60.04,26.78,M
2019-09-18 19:10:20,95005.72,59.53,26.77,M
2019-09-18 19:10:30,95006.02,59.56,26.8,M
2019-09-18 19:10:40,95006.95,59.54,26.83,M
2019-09-18 19:10:50,95003.77,58.95,26.83,M
2019-09-18 19:11:00,95004.28,58.5,26.84,M
2019-09-18 19:11:10,95006.19,58.59,26.85,M
2019-09-18 19:11:20,95006.63,58.8,26.85,M
2019-09-18 19:11:30,95004.73,58.79,26.85,M
2019-09-18 19:11:40,95007.97,58.83,26.84,M
2019-09-18 19:11:50,95006.8,58.83,26.85,M
2019-09-18 19:12:00,95008.48,58.77,26.85,M
2019-09-18 19:12:10,95005.23,58.62,26.83,M
2019-09-18 19:12:20,95003.11,58.68,26.83,M
2019-09-18 19:12:30,95009.24,58.48,26.82,M
2019-09-18 19:12:40,95006.05,58.51,26.81,M
2019-09-18 19:12:50,95005.46,58.33,26.8,M
2019-09-18 19:13:00,95003.98,58.51,26.81,M
2019-09-18 19:13:10,95008.17,58.73,26.81,M
2019-09-18 19:13:20,95007.14,58.83,26.8,M
2019-09-18 19:13:30,95011.26,57.94,26.75,M
2019-09-18 19:13:40,95010.69,58.21,26.74,M
2019-09-18 19:13:50,95011.18,58.1,26.72,M
2019-09-18 19:14:00,95008.22,58.19,26.72,M
2019-09-18 19:14:10,95005.95,58.63,26.73,M
2019-09-18 19:14:20,95009.06,58.65,26.72,M
2019-09-18 19:14:30,94997.44,59.35,26.75,M
2019-09-18 19:14:40,94996.39,58.81,26.77,M
2019-09-18 19:14:50,95003.44,59.11,26.78,M
2019-09-18 19:15:00,95010.7,58.69,26.8,M
2019-09-18 19:15:10,95012.65,58.71,26.83,M
2019-09-18 19:15:20,95013.89,58.56,26.84,M
2019-09-18 19:15:30,95010.27,58.4,26.85,M
2019-09-18 19:15:40,95012.88,58.11,26.87,M
2019-09-18 19:15:50,95013.25,58.18,26.9,M
2019-09-18 19:16:00,95011.02,58.09,26.93,M
2019-09-18 19:16:10,95013.36,58.06,26.98,M
2019-09-18 19:16:20,95011.27,57.99,27.02,M
2019-09-18 19:16:30,95010.59,57.82,27.08,M
2019-09-18 19:16:40,95014.48,57.79,27.14,M
2019-09-18 19:16:50,95014.05,57.62,27.18,M
2019-09-18 19:17:00,95014.27,57.61,27.2,M
2019-09-18 19:17:10,95012.86,57.49,27.26,M
2019-09-18 19:17:20,95011.02,57.56,27.31,M
2019-09-18 19:17:30,95011.34,57.28,27.37,M
2019-09-18 19:17:40,95013.75,57.03,27.43,M
2019-09-18 19:17:50,95010.95,56.9,27.48,M
2019-09-18 19:18:00,95011.39,56.82,27.53,M
2019-09-18 19:18:10,95013.38,57.05,27.54,M
2019-09-18 19:18:20,95013.38,57.44,27.62,M
2019-09-18 19:18:30,95014.02,57.22,27.71,M
2019-09-18 19:18:40,95016.52,56.83,27.76,M
2019-09-18 19:18:50,95011.05,56.4,27.78,M
2019-09-18 19:19:00,95015.41,56.38,27.8,M
2019-09-18 19:19:10,95016.63,56.27,27.85,M
2019-09-18 19:19:20,95012.6,56.47,27.86,M
2019-09-18 19:19:30,95013.14,56.43,27.89,M
2019-09-18 19:19:40,95010.3,56.21,27.91,M
2019-09-18 19:19:50,95004.2,56.16,27.92,M
2019-09-18 19:20:00,95002.44,56.18,27.81,M
2019-09-18 19:20:10,95013.9,55.8,27.79,M
2019-09-18 19:20:20,95012.9,56.06,27.8,M
2019-09-18 19:20:30,95013.91,55.85,27.8,M
2019-09-18 19:20:40,95011.58,55.77,27.81,M
2019-09-18 19:20:50,95015.28,55.45,27.83,M
2019-09-18 19:21:00,95015.65,55.82,27.74,M
